SchemeCode,SchemeName,SchemeCategory,Inception,ExpenseRatio,TurnoverRatio,ALP3Y,ALP5Y,ALP10Y,BET3Y,BET5Y,BET10Y,R2_3YRS,R2_5YRS,R2_10YRS,SD_3YRS,SD_5YRS,SD_10YRS,SHP_3YRS,SHP_5YRS,SHP_10YRS
100378,Nippon India Vision Fund Payout Inc Dist cum Cap Wdrl,Large & Mid- Cap,1995-08-10,1.97,92.0,3.76,3.05,-1.78,0.97,0.94,1.03,92.35,92.26,90.8,14.62,15.34,18.01,0.75,1.36,0.35
100379,Nippon India Vision Fund - Bonus,Large & Mid- Cap,1995-08-10,1.97,92.0,4.34,3.52,-1.35,0.96,0.94,1.03,93.17,92.72,91.05,14.49,15.24,17.94,0.79,1.39,0.38
100380,Nippon India Vision Fund - Growth,Large & Mid- Cap,1995-08-10,1.97,92.0,4.34,3.52,-1.35,0.96,0.94,1.03,93.17,92.72,91.06,14.49,15.24,17.94,0.79,1.39,0.38
100470,Franklin India Bluechip Fund Reinvestment Inc Dist cum Cap Wdrl,Large-Cap,1993-01-12,1.89,90.65,-4.49,-3.22,-3.04,0.95,0.97,0.97,82.03,82.34,90.0,14.73,16.36,16.7,0.14,0.87,0.25
100471,Franklin India Bluechip Fund Growth,Large-Cap,1993-01-12,1.89,90.65,-0.68,-0.15,-1.67,0.9,0.93,0.95,95.9,87.53,92.75,12.92,15.26,16.24,0.43,1.09,0.33
100472,Franklin India Prima Fund Payout of Inc Dist cum Cap Wdrl,Mid-Cap,1993-01-12,1.8,24.47,0.41,-1.81,-1.05,0.9,0.94,0.91,78.66,84.97,86.94,18.06,17.9,19.14,0.75,1.2,0.47
100473,Franklin India Prima Fund Growth,Mid-Cap,1993-01-12,1.8,24.47,0.95,-1.23,-0.69,0.89,0.94,0.9,93.66,93.96,94.8,16.42,17.02,18.1,0.85,1.3,0.51
100475,Tata Large Cap Fund Growth,Large-Cap,1998-07-05,2.07,35.17,-0.08,-0.17,-1.21,0.98,0.95,0.99,97.64,96.24,96.66,13.94,14.9,16.46,0.48,1.15,0.37
100477,Taurus Discovery (Midcap) Fund - Growth Option,Mid-Cap,1994-05-09,2.52,108.0,-5.7,-4.63,-1.49,0.97,0.94,0.92,90.39,88.26,90.66,18.11,17.65,18.78,0.46,1.07,0.46
100496,Templeton India Value Fund Growth,Value,1996-10-09,2.09,37.51,4.5,5.59,0.27,0.91,0.98,1.06,93.54,83.34,90.27,13.99,16.85,18.9,0.82,1.45,0.46
100497,Templeton India Value Fund Reinvestment Inc Dist cum Cap Wdrl,Value,1996-10-09,2.09,37.51,1.13,2.96,-0.94,0.95,1.0,1.07,82.0,79.36,88.47,15.45,17.71,19.23,0.54,1.26,0.4
100630,Quant Active Fund Reinvestment of Income Distribution cum capital withdrawal option,Multi-Cap,2001-03-30,1.75,75.92,-2.88,5.38,4.61,1.12,1.04,0.97,85.87,74.3,76.92,17.88,18.98,18.72,0.32,1.34,0.66
100631,Quant Active Fund Growth,Multi-Cap,2001-12-02,1.75,75.92,-2.84,5.41,3.67,1.12,1.04,0.98,85.86,74.3,79.01,17.88,18.98,18.72,0.32,1.34,0.62
100650,UTI Large cap Fund Regular Plan Payout Inc Dist cum Cap Wdrl,Large-Cap,1986-09-19,1.77,37.0,-2.5,-1.43,-2.43,0.91,0.93,0.92,95.93,96.66,94.29,13.09,14.48,15.56,0.29,1.06,0.28
100651,UTI Large cap Fund Regular Plan Growth,Large-Cap,1986-10-15,1.77,37.0,-2.44,-1.29,-1.37,0.91,0.93,0.93,96.01,96.65,97.27,13.09,14.49,15.53,0.29,1.07,0.36
100663,UTI Large & Mid Cap Fund Regular Plan Payout of Income Distribution cum capital withdrawal option,Large & Mid- Cap,2009-05-20,1.91,37.0,5.54,4.98,-0.48,0.95,0.97,1.02,91.89,89.22,92.32,14.39,15.99,17.62,0.87,1.45,0.43
100664,UTI Large & Mid Cap Fund Regular Plan Growth,Large & Mid- Cap,2009-05-20,1.91,37.0,5.54,5.12,-0.42,0.95,0.97,1.02,91.89,89.32,92.35,14.39,15.98,17.61,0.87,1.46,0.43
100794,Sundaram Small Cap Fund Regular Plan Transfer of Income Distribution cum Capital Withdrawal,Small-Cap,2005-02-15,2.0,64.9,-1.54,0.32,-3.93,0.79,0.85,0.99,92.58,94.15,93.92,16.54,18.0,23.14,0.54,1.4,0.36
100795,Sundaram Small Cap Fund - Regular Plan - Growth Option,Small-Cap,2005-02-15,2.0,64.9,-1.01,0.7,-3.59,0.79,0.84,0.98,92.81,94.26,94.06,16.45,17.93,23.03,0.57,1.42,0.37
100915,SBI Contra Fund Regular Reinvestment Inc Dist cum Cap Wdrl,Contra,1999-07-14,1.54,16.0,7.53,9.42,1.69,0.86,0.92,0.99,92.67,87.77,89.85,13.21,15.51,17.64,1.07,1.76,0.54
101002,SBI Magnum Constant Maturity Fund Regular Growth,10 yr Government Bond,2000-12-30,0.64,113.64,-0.63,-0.43,0.87,0.81,0.83,0.55,93.19,93.65,70.0,2.88,3.17,3.0,0.2,0.24,0.7
101003,SBI Magnum Constant Maturity Fund Regular Payout Inc Dist cum Cap Wdrl,10 yr Government Bond,2000-12-30,0.64,113.64,-0.63,-0.43,0.19,0.81,0.83,0.55,93.2,93.65,69.36,2.88,3.17,3.01,0.2,0.24,0.47
101065,Quant Mid Cap Fund Growth,Mid-Cap,2001-12-02,1.77,104.76,-2.61,5.47,2.27,0.94,0.89,0.77,85.02,70.7,73.59,18.19,18.68,17.5,0.61,1.48,0.61
101066,Quant Mid Cap Fund Payout of Income Distribution cum capital withdrawal option,Mid-Cap,2001-12-02,1.77,104.76,-2.49,5.56,2.31,0.94,0.89,0.77,85.06,70.72,73.59,18.18,18.68,17.5,0.62,1.49,0.61
101161,Nippon India Multi Cap Fund - Growth,Multi-Cap,2005-03-28,1.58,21.0,7.03,6.03,0.25,0.92,0.97,1.08,85.12,77.83,86.78,14.7,17.4,19.67,0.96,1.43,0.45
101162,Nippon India Multi Cap Fund Bonus,Multi-Cap,2005-03-28,1.58,21.0,7.03,6.03,0.25,0.92,0.97,1.08,85.12,77.83,86.78,14.7,17.4,19.67,0.96,1.43,0.45
101163,Nippon India Multi Cap Fund Reinvestment Inc Dist cum Cap Wdrl,Multi-Cap,2005-03-28,1.58,21.0,6.28,5.52,-0.06,0.92,0.98,1.08,84.55,77.74,86.68,14.83,17.49,19.66,0.9,1.4,0.44
101209,Taurus Largecap Equity Fund - Growth,Large-Cap,1995-02-28,2.57,82.0,-0.91,-2.5,-3.27,1.11,0.97,0.97,85.02,86.2,91.77,16.92,16.0,16.54,0.4,0.94,0.23
101228,ICICI Prudential Multicap Fund Growth,Multi-Cap,1994-01-10,1.77,76.0,4.74,3.22,1.12,0.91,0.94,0.95,95.0,90.5,91.41,13.88,15.61,16.87,0.85,1.38,0.52
101530,SBI Large & Midcap Fund Regular Payout Inc Dist cum Cap Wdrl,Large & Mid- Cap,1993-02-28,1.62,29.0,3.03,4.25,1.04,0.86,0.88,0.98,90.62,87.99,90.4,13.13,14.65,17.15,0.72,1.42,0.51
101538,Sundaram Mid Cap Payoutof Income Distribution cum Capital Withdrawal,Mid-Cap,2002-07-30,1.79,39.5,0.28,0.02,-1.54,0.93,0.9,0.96,94.45,92.84,93.62,17.03,16.42,19.42,0.81,1.36,0.47
101539,Sundaram Mid Cap Growth,Mid-Cap,2002-07-30,1.79,39.5,0.86,0.44,-1.24,0.92,0.89,0.96,94.5,92.86,93.53,16.9,16.33,19.39,0.85,1.39,0.48
101547,Tata Short Term Bond Fund Regular Monthly Rnvstmnt of Inc Dist cum Cap Wdrl,Short Duration,2002-08-08,1.2,129.48,-0.43,-0.74,-1.92,0.9,1.03,1.09,77.39,87.04,51.72,1.16,1.55,2.03,-0.38,0.26,-0.24
101548,Tata Short Term Bond Fund Regular Growth,Short Duration,2002-08-08,1.2,129.48,-0.43,-0.72,-1.36,0.9,1.03,1.08,77.54,87.06,51.6,1.15,1.55,2.05,-0.39,0.26,0.03
101551,SBI Equity Hybrid Fund Regular Reinvestment Inc Dist cum Cap Wdrl,Aggressive Allocation,1995-12-31,1.41,17.0,0.15,0.1,-0.24,0.96,0.98,1.03,93.25,92.18,93.15,9.81,10.66,11.74,0.5,1.18,0.48
101587,Canara Robeco Income Fund Regular Plan Quarterly Reinvestment of Income Dist cum Cap Wdrl,Medium to Long Duration,2002-09-19,1.88,352.23,-1.99,-2.57,-2.76,0.8,0.85,0.97,26.41,39.21,55.55,3.24,3.36,3.75,-0.53,-0.49,-0.33
101588,Canara Robeco Income Fund Regular Plan Growth,Medium to Long Duration,2002-09-19,1.88,352.23,-1.18,-1.27,-1.31,0.96,0.96,1.02,89.28,90.2,88.74,2.2,2.5,3.14,-0.4,-0.08,0.1
101591,Aditya Birla Sun Life Mid Cap Fund Reinvestment Inc Dist cum Cap Wdrl,Mid-Cap,2002-03-10,1.94,48.0,-3.8,-0.51,-2.61,0.89,0.9,0.96,90.53,89.3,93.57,16.66,16.75,19.38,0.55,1.31,0.41
101592,Aditya Birla Sun Life Mid Cap Fund Growth,Mid-Cap,2002-03-10,1.94,48.0,-3.41,-0.22,-2.28,0.89,0.9,0.96,90.71,89.48,93.86,16.67,16.75,19.36,0.57,1.32,0.43
101593,HSBC Large Cap IDCW,Large-Cap,2002-10-12,2.15,58.0,-1.42,-2.47,-2.0,0.99,0.97,0.98,92.99,94.53,93.84,14.46,15.36,16.58,0.38,0.99,0.32
101594,HSBC Large Cap Fund Growth,Large-Cap,2002-10-12,2.15,58.0,-0.72,-2.01,-0.95,0.99,0.97,0.98,93.33,94.66,96.0,14.43,15.33,16.36,0.42,1.02,0.38
101617,ICICI Prudential Savings Fund Weekly Reinvestment of Income Dist cum Cap Wdrl,Low Duration,2003-03-04,0.53,101.21,-0.53,0.09,-0.41,4.21,4.91,1.3,20.56,14.1,4.82,0.83,1.09,0.88,0.47,0.96,0.11
101618,ICICI Prudential Savings Fund Daily Reinvestment of Income Dist cum Cap Wdrl,Low Duration,2003-07-27,0.53,101.21,-0.55,-0.24,-0.61,3.74,4.68,1.28,15.55,10.91,4.4,0.83,1.2,0.94,0.3,0.56,-0.14
101619,ICICI Prudential Savings Fund Growth,Low Duration,2002-09-27,0.53,101.21,-0.36,0.17,0.3,4.2,5.04,2.44,22.93,15.81,16.81,0.79,1.06,0.95,0.73,1.09,1.4
101635,DSP Top 100 Equity Fund Regular Plan Growth,Large-Cap,2003-10-03,1.93,29.0,4.14,0.92,-1.6,0.9,0.89,1.03,92.14,91.35,92.41,13.09,14.38,17.52,0.79,1.19,0.34
101636,DSP Top 100 Equity Fund Regular Plan Reinvestment of Income Distribution cum capital Wdrl Opt,Large-Cap,2003-10-03,1.93,29.0,4.94,2.11,-1.83,0.71,0.8,0.99,62.36,76.23,86.16,12.53,14.08,17.44,0.78,1.18,0.31
101665,Nippon India Short Term Fund - Growth,Short Duration,2002-12-18,0.93,161.0,-0.18,-0.06,-0.41,1.0,0.94,1.04,90.88,92.71,91.4,1.2,1.35,1.5,-0.14,0.72,0.65
101667,Nippon India Short Term Fund Monthly Reinvestment Inc Dist cum Cap Wdrl,Short Duration,2002-12-18,0.93,161.0,-0.21,-0.08,-1.27,0.99,0.94,0.93,90.98,92.77,84.68,1.19,1.35,1.36,-0.17,0.71,-0.04
101669,Nippon India Short Term Fund Quarterly Reinvestment Inc Dist cum Cap Wdrl,Short Duration,2006-10-01,0.93,161.0,-0.27,-0.12,-1.55,1.0,0.94,1.06,90.97,92.71,66.52,1.19,1.35,1.74,-0.22,0.68,-0.09
101672,Tata Equity P/E Fund Regular Growth,Value,2004-06-29,1.82,72.94,4.0,1.87,0.6,0.98,0.92,0.97,93.2,92.4,92.07,14.97,15.07,17.24,0.77,1.31,0.49
101685,HSBC Medium to Long Duration Fund - Regular Growth,Medium to Long Duration,2002-10-12,1.89,181.34,-1.42,-1.72,-1.98,1.07,1.03,1.1,90.2,88.03,92.4,2.43,2.74,3.33,-0.45,-0.21,-0.07
101686,HSBC Medium to Long Duration Fund - Regular Quarterly Reinvestment of IDCW option,Medium to Long Duration,2002-10-12,1.89,181.34,-3.16,-3.05,-3.93,0.87,0.95,1.06,55.21,71.26,77.02,2.51,2.78,3.48,-1.17,-0.72,-0.65
101706,ICICI Prudential Multicap Fund Payout Inc Dist cum Cap Wdrl,Multi-Cap,1994-01-10,1.77,76.0,4.1,2.52,0.5,0.91,0.94,0.95,94.42,90.05,91.11,13.91,15.59,16.85,0.8,1.33,0.48
101758,ICICI Prudential Short Term Fund Growth,Short Duration,2001-10-25,1.02,94.03,0.54,0.43,0.01,0.65,0.89,1.05,73.61,79.75,81.11,0.86,1.37,1.61,0.73,1.03,0.88
101764,HDFC Value Fund Growth,Value,1994-01-02,1.86,23.63,2.07,2.03,-0.29,0.96,0.96,1.03,96.59,95.91,95.55,14.51,15.42,17.82,0.65,1.34,0.45
101765,HDFC Value Fund Reinvestment Inc Dist cum Cap Wdrl Opt,Value,1994-01-02,1.86,23.63,-1.29,-0.67,-1.52,1.07,1.02,1.05,90.62,92.32,94.26,16.63,16.72,18.43,0.41,1.14,0.38
101816,Aditya Birla Sun Life Reg Savings Fund Regular Plan Monthly Reinvst of Inc Dis cum Cap Wdrl,Conservative Allocation,2004-05-22,1.92,155.0,-0.89,2.48,-2.44,0.98,0.94,1.35,66.14,51.52,58.95,4.21,4.5,6.35,0.12,1.32,0.16
101818,Aditya Birla Sun Life Reg Savings Fund Regular Plan Growth,Conservative Allocation,2004-05-22,1.92,155.0,-0.14,2.92,-1.24,0.99,0.95,1.37,82.6,59.39,64.76,3.82,4.21,6.16,0.33,1.51,0.36
101823,Tata Large & Mid Cap Fund Regular Rnvstmnt of Inc Dist cum Cap Wdrl,Large & Mid- Cap,1999-04-16,1.79,9.69,2.41,0.78,-0.53,0.89,0.95,0.98,91.44,91.79,92.05,13.52,15.39,16.99,0.67,1.21,0.42
101824,Tata Large & Mid Cap Fund Regular Growth,Large & Mid- Cap,1993-02-25,1.79,9.69,2.44,0.68,-0.3,0.89,0.95,0.98,91.43,91.81,92.71,13.51,15.4,16.9,0.67,1.2,0.44
101829,LIC MF Low Duration Fund Monthly Reinvestment of Income Dis cum Cap Wrdl,Low Duration,2009-01-13,0.96,212.09,-1.25,-0.25,-0.72,4.17,3.2,-0.15,66.83,10.02,0.03,0.55,0.85,1.37,-0.97,0.42,-0.57
101830,LIC MF Low Duration Fund Growth,Low Duration,2003-05-29,0.96,212.09,-1.25,-0.26,-0.22,4.17,3.2,0.85,66.74,10.04,0.95,0.55,0.85,1.32,-0.97,0.42,0.08
101843,Aditya Birla Sun Life Short Term Fund Regular Plan Reinvst of Inc Dis cum Cap Wdrl,Short Duration,2003-09-05,0.95,171.46,-0.56,-0.1,-1.12,0.72,1.05,1.11,55.44,68.39,46.89,1.05,1.69,2.18,-0.55,0.61,0.15
101866,LIC MF Conservative Hybrid Fund Monthly Reinvestment of Income Distribution cum Cap Wrdl,Conservative Allocation,1998-08-19,2.25,147.17,-3.75,-2.94,-3.26,0.98,0.97,0.87,76.67,74.69,73.09,3.91,3.92,3.69,-0.62,0.2,-0.28
101867,LIC MF Conservative Hybrid Fund Quarterly Payout of Income Distribution cum Cap Wrdl,Conservative Allocation,2004-10-02,2.25,147.17,-2.78,-3.2,-3.41,0.99,0.97,0.86,78.34,70.4,66.47,3.95,4.07,3.83,-0.36,0.12,-0.32
101868,LIC MF Conservative Hybrid Fund Yearly Reinvestment of Income Distribution cum Cap Wrdl,Conservative Allocation,1999-03-02,2.25,147.17,-3.72,-2.51,-2.86,0.65,0.79,0.74,23.77,39.49,46.18,4.67,4.39,3.95,-0.61,0.12,-0.24
101869,LIC MF Conservative Hybrid Fund Growth,Conservative Allocation,1999-03-02,2.25,147.17,-2.21,-1.92,-1.89,0.95,0.94,0.86,80.54,76.52,75.29,3.72,3.76,3.57,-0.24,0.44,0.08
101892,Kotak Money Market Monthly Payout of Income Dis cum Cap wdrl,Money Market,2003-07-14,0.36,211.8,-0.36,-0.15,-0.5,3.45,3.46,0.32,71.06,63.58,1.35,0.46,0.57,0.47,1.1,1.43,-0.93
101893,Kotak Money Market Growth,Money Market,2003-07-14,0.36,211.8,-0.35,-0.14,0.2,3.46,3.48,1.31,71.53,63.85,36.63,0.46,0.57,0.51,1.12,1.45,2.2
101970,Aditya Birla Sun Life Money Manager Fund Plan Retail Weekly Reinvestment Inc Dist cum Cap Wdrl,Money Market,2003-05-06,0.35,269.82,-1.07,-0.53,-0.67,3.59,4.3,0.33,19.1,25.96,0.67,0.68,0.71,0.58,-0.51,0.38,-0.91
101971,Aditya Birla Sun Life Money Manager Fund Plan Retail Growth,Money Market,2003-05-06,0.35,269.82,-0.35,-0.12,0.29,3.68,4.52,1.48,67.89,54.43,27.77,0.5,0.64,0.56,1.17,1.46,2.07
101972,Aditya Birla Sun Life Money Manager Fund Plan Retail Daily Reinvestment Inc Dist cum Cap Wdrl,Money Market,2005-05-22,0.35,269.82,-0.31,-0.14,-0.52,3.52,4.24,0.48,62.62,46.34,1.88,0.5,0.67,0.57,1.18,1.3,-0.65
101986,Tata Money Market Fund Regular Daily Rnvstmnt of Inc Dist cum Cap Wdrl,Money Market,2003-05-26,0.42,373.05,-0.56,-0.3,-0.81,3.66,4.26,-0.24,41.99,39.52,0.03,0.56,0.68,1.98,0.43,0.9,-0.45
101989,HDFC Medium Term Debt Fund Growth,Medium Duration,2002-06-02,1.27,25.16,-0.21,-0.27,-0.52,1.33,1.17,1.24,89.78,67.94,75.78,1.54,1.93,1.94,-0.12,0.52,0.58
101990,HDFC Medium Term Debt Fund Payout of Income Dis cum Cptl Wdrl Opt,Medium Duration,2002-06-02,1.27,25.16,-0.42,-0.38,-1.45,1.27,1.15,1.1,85.28,66.72,70.22,1.51,1.91,1.75,-0.27,0.46,-0.01
101993,HDFC Money Market Growth,Money Market,1999-11-18,0.41,123.87,-0.45,-0.21,0.13,3.66,4.53,1.49,70.45,52.55,25.9,0.49,0.65,0.56,0.89,1.27,1.63
101994,HDFC Money Market Daily Reinvestment of Income Distribution cum Capital Withdrawal Opt,Money Market,2001-12-30,0.41,123.87,-0.42,-0.15,-0.49,3.29,4.04,0.24,50.62,36.9,0.43,0.5,0.67,0.55,0.7,1.13,-0.74
101995,HDFC Money Market Weekly Payout of Income Distribution cum Capital Withdrawal Opt,Money Market,1999-11-18,0.41,123.87,-1.16,-0.66,-0.89,3.15,4.22,0.7,22.5,28.72,3.28,0.61,0.68,0.57,-0.98,0.18,-1.08
102000,HDFC Large Cap Fund Growth,Large-Cap,1996-11-10,1.63,13.79,2.9,1.32,-0.4,0.92,0.97,1.03,96.23,92.19,93.15,13.18,15.44,17.51,0.7,1.22,0.41
102001,HDFC Large Cap Fund Payout of Income Distribution cum Capital Withdrawal option,Large-Cap,1996-11-10,1.63,13.79,4.03,3.09,-0.47,0.69,0.86,0.99,58.58,74.39,85.86,12.71,15.22,17.5,0.69,1.22,0.39
102020,Baroda BNP Paribas Multi Cap Fund Regular Growth,Multi-Cap,2003-12-09,1.99,115.0,1.25,2.42,0.1,0.95,0.94,0.94,83.71,84.14,89.94,15.43,16.18,16.76,0.55,1.28,0.46
102053,SBI Magnum Medium Duration Fund Regular Growth,Medium Duration,2003-12-11,1.22,146.96,0.12,0.02,0.17,1.2,1.21,1.25,89.19,83.45,76.83,1.4,1.81,1.95,0.13,0.74,0.94
102054,SBI Magnum Medium Duration Fund Regular Payout of Income Distribution cum capital withdrawal,Medium Duration,2003-12-11,1.22,146.96,0.12,0.02,-0.67,1.2,1.21,1.31,89.17,83.45,68.39,1.4,1.81,2.12,0.13,0.74,0.49
102147,HDFC Hybrid Debt Fund Growth,Conservative Allocation,2003-12-26,1.73,25.24,1.87,2.8,-0.61,1.13,1.02,1.31,87.13,60.35,71.77,4.25,4.56,5.6,0.83,1.45,0.49
102148,HDFC Hybrid Debt Fund Monthly Reinvestment of Income Distribution cum Capital Wdrl Opt,Conservative Allocation,2003-12-26,1.73,25.24,1.86,2.8,-2.18,1.13,1.02,1.33,87.15,60.36,70.47,4.25,4.56,5.72,0.83,1.45,0.21
102149,HDFC Hybrid Debt Fund Quarterly Reinvestment of Income Distribution cum Capital Wdrl Opt,Conservative Allocation,2003-12-26,1.73,25.24,1.29,2.56,-2.1,1.03,0.96,1.3,79.35,56.32,67.92,4.05,4.48,5.72,0.69,1.38,0.21
102172,Nippon India Hybrid Bond Fund Growth,Conservative Allocation,2003-12-29,1.9,66.73,0.38,1.29,-3.01,0.55,0.5,0.94,78.34,61.85,48.07,2.21,2.2,4.96,0.54,1.42,-0.12
102173,Nippon India Hybrid Bond Fund Monthly Payout Inc Dist cum Cap Wdrl,Conservative Allocation,2003-12-29,1.9,66.73,-0.22,0.92,-4.27,0.54,0.51,0.95,72.97,59.37,47.55,2.26,2.24,4.98,0.25,1.23,-0.37
102174,Nippon India Hybrid Bond Fund Quarterly Payout Inc Dist cum Cap Wdrl,Conservative Allocation,2003-12-29,1.9,66.73,-1.35,0.07,-4.54,0.64,0.57,0.97,54.88,50.49,48.45,3.06,2.77,5.08,-0.15,0.8,-0.4
102261,HSBC Conservative Hybrid Fund - Quarterly IDCW,Conservative Allocation,2004-02-24,2.18,68.16,-0.22,-0.29,-2.66,1.3,1.2,1.27,73.68,75.9,80.57,5.29,4.85,5.13,0.31,0.89,0.11
102262,HSBC Conservative Hybrid Fund Growth,Conservative Allocation,2004-01-28,2.18,68.16,-0.11,-0.22,-1.91,1.3,1.2,1.27,73.68,75.82,81.65,5.3,4.85,5.12,0.33,0.9,0.26
102326,Tata Mid Cap Growth Fund Regular Rnvstmnt of Inc Dist cum Cap Wdrl,Mid-Cap,2004-03-31,1.9,28.67,-1.81,0.01,-1.12,0.88,0.88,0.94,95.09,91.82,92.67,16.07,16.08,19.1,0.68,1.36,0.48
102328,Tata Mid Cap Growth Fund Regular Growth,Mid-Cap,1994-01-07,1.9,28.67,-1.78,0.05,-0.9,0.88,0.88,0.94,95.09,91.82,92.6,16.06,16.08,19.05,0.69,1.36,0.49
102330,ICICI Prudential Regular Savings Fund Growth,Conservative Allocation,2004-03-30,1.67,23.0,1.32,2.13,0.45,0.85,0.77,0.97,80.74,67.95,73.47,3.32,3.28,4.09,0.77,1.54,0.71
102331,ICICI Prudential Regular Savings Fund Monthly Reinvestment of Inc Dist cum Cap Wdrl,Conservative Allocation,2004-03-30,1.67,23.0,0.73,0.51,-1.12,1.21,1.19,1.13,66.4,56.73,63.9,5.17,5.53,5.1,0.47,0.91,0.34
102393,UTI Mid Cap Fund Regular Plan Payout Inc Dist cum Cap Wdrl,Mid-Cap,2004-07-04,1.78,36.0,-4.93,-1.17,-1.92,0.9,0.91,0.92,92.93,91.19,92.9,16.65,16.69,18.69,0.49,1.28,0.44
102394,UTI Mid Cap Fund Regular Plan Growth,Mid-Cap,2004-07-04,1.78,36.0,-4.93,-1.1,-1.9,0.9,0.91,0.92,92.93,91.14,92.87,16.65,16.69,18.69,0.49,1.28,0.44
102414,SBI Contra Fund Regular Growth,Contra,1999-05-07,1.54,16.0,7.53,9.42,1.68,0.86,0.92,0.99,92.67,87.77,89.85,13.21,15.51,17.64,1.07,1.76,0.54
102428,Tata Equity P/E Fund Trigger A 10% Payout of Income Distribution cum Capital Withdrawal,Value,2004-06-30,1.82,72.94,3.9,2.38,0.66,0.97,0.89,0.96,93.23,82.79,88.17,14.95,15.41,17.39,0.76,1.27,0.48
102448,DSP Regular Saving Fund Regular Plan Growth,Conservative Allocation,2004-11-06,1.11,43.15,0.93,1.29,-2.04,1.0,0.96,1.25,81.27,73.8,68.42,3.89,3.93,5.48,0.61,1.26,0.21
102450,DSP Regular Saving Fund Regular Plan Monthly Payout of Income Distribution cum Cptl Wdrl Opt,Conservative Allocation,2004-06-14,1.11,43.15,0.81,1.23,-3.76,1.0,0.95,1.23,75.96,71.43,62.51,4.01,3.96,5.62,0.56,1.23,-0.11
102451,DSP Regular Saving Fund Regular Plan Quarterly Payout of Income Distribution cum Cptl Wdrl Opt,Conservative Allocation,2004-06-14,1.11,43.15,-0.44,0.43,-4.18,0.97,0.96,1.26,53.72,58.17,57.16,4.61,4.39,6.02,0.2,0.92,-0.16
102503,SBI Savings Fund Regular Plan Growth,Money Market,2004-07-19,0.69,216.04,-0.85,-0.58,-0.34,3.71,3.99,2.08,71.35,59.57,43.78,0.49,0.59,0.62,-0.25,0.38,0.99
102504,SBI Savings Fund Regular Plan Reinvestment of Income Distribution cum cap,Money Market,2004-07-19,0.69,216.04,-0.85,-0.58,-0.88,3.71,4.0,1.57,71.4,59.56,16.95,0.49,0.59,0.63,-0.26,0.38,-0.49
